Date;ClosingPrice;Open;DailyHigh;DailyLow
30.12.2016;1152,33000;1150,32000;1152,33000;1132,66000
29.12.2016;1144,26000;1139,53000;1148,02000;1133,37000
28.12.2016;1138,31000;1137,73000;1144,46000;1134,85000
27.12.2016;1135,79000;1123,02000;1136,93000;1123,02000
26.12.2016;1124,65000;1121,09000;1131,80000;1120,70000
23.12.2016;1117,92000;1123,58000;1133,13000;1108,74000
22.12.2016;1125,80000;1135,31000;1137,19000;1122,08000
21.12.2016;1140,88000;1141,79000;1153,50000;1139,76000
20.12.2016;1142,54000;1126,86000;1142,74000;1122,50000
19.12.2016;1130,06000;1133,36000;1139,62000;1130,06000
16.12.2016;1135,56000;1142,63000;1148,61000;1134,27000
15.12.2016;1138,07000;1125,06000;1141,24000;1124,08000
14.12.2016;1148,92000;1168,66000;1170,51000;1141,52000
13.12.2016;1164,15000;1148,61000;1164,15000;1140,38000
12.12.2016;1148,59000;1118,64000;1151,98000;1118,64000
09.12.2016;1110,14000;1100,93000;1110,14000;1095,32000
08.12.2016;1097,39000;1080,75000;1097,39000;1078,03000
07.12.2016;1066,75000;1062,27000;1071,07000;1058,71000
06.12.2016;1059,97000;1065,87000;1076,23000;1059,79000
05.12.2016;1069,10000;1048,85000;1072,86000;1047,10000
02.12.2016;1050,21000;1044,46000;1054,52000;1036,84000
01.12.2016;1047,43000;1036,63000;1053,05000;1036,63000
30.11.2016;1029,05000;1010,33000;1034,53000;1006,48000
29.11.2016;1005,82000;1016,48000;1017,99000;1004,00000
28.11.2016;1018,18000;1017,79000;1021,91000;1010,65000
25.11.2016;1018,51000;1026,64000;1030,79000;1017,16000
24.11.2016;1028,86000;1019,62000;1031,63000;1016,97000
23.11.2016;1016,95000;1022,26000;1024,23000;1009,18000
22.11.2016;1016,84000;1016,81000;1027,55000;1014,93000
21.11.2016;1014,88000;995,37000;1014,88000;995,37000
18.11.2016;990,77000;992,38000;995,50000;984,48000
17.11.2016;995,89000;987,11000;1001,02000;983,65000
16.11.2016;989,68000;993,90000;997,95000;979,97000
15.11.2016;980,47000;966,22000;988,44000;966,22000
14.11.2016;960,32000;974,86000;980,57000;956,36000
11.11.2016;970,15000;983,76000;993,36000;970,15000
10.11.2016;993,84000;995,09000;1021,97000;993,84000
09.11.2016;990,35000;959,45000;994,83000;958,33000
08.11.2016;972,66000;970,14000;975,47000;969,74000
07.11.2016;963,97000;973,40000;976,38000;963,97000
03.11.2016;971,20000;977,64000;977,82000;968,55000
02.11.2016;973,09000;989,71000;990,00000;971,35000
01.11.2016;996,63000;989,91000;1000,31000;989,91000
31.10.2016;988,74000;992,09000;992,09000;985,67000
28.10.2016;992,23000;994,48000;994,48000;988,04000
27.10.2016;992,67000;989,24000;997,27000;984,82000
26.10.2016;989,52000;999,38000;1000,85000;987,12000
25.10.2016;1002,26000;995,71000;1007,69000;995,24000
24.10.2016;993,77000;990,33000;997,45000;989,08000
21.10.2016;986,37000;986,93000;989,15000;982,41000
20.10.2016;987,48000;994,97000;995,23000;987,31000
19.10.2016;995,23000;988,94000;996,99000;987,84000
18.10.2016;986,94000;977,51000;989,64000;977,51000
17.10.2016;977,30000;982,84000;985,40000;976,26000
14.10.2016;983,04000;987,72000;989,75000;980,76000
13.10.2016;987,99000;995,20000;995,20000;978,81000
12.10.2016;995,96000;1005,14000;1010,02000;993,51000
11.10.2016;1005,48000;1016,67000;1016,82000;1003,19000
10.10.2016;1017,88000;1003,29000;1018,98000;998,35000
07.10.2016;1002,07000;1007,20000;1008,88000;996,24000
06.10.2016;1004,25000;996,88000;1004,25000;993,41000
05.10.2016;997,11000;997,80000;998,49000;989,43000
04.10.2016;1000,84000;1001,40000;1003,88000;995,83000
03.10.2016;1004,69000;993,19000;1006,67000;992,22000
30.09.2016;990,88000;993,38000;994,68000;982,80000
29.09.2016;998,17000;998,36000;1001,73000;994,98000
28.09.2016;975,31000;975,49000;984,13000;972,76000
27.09.2016;973,18000;985,54000;986,12000;972,38000
26.09.2016;986,83000;985,36000;990,51000;978,39000
23.09.2016;993,94000;1000,10000;1000,10000;987,21000
22.09.2016;1002,13000;990,50000;1003,36000;986,64000
21.09.2016;979,54000;970,19000;980,84000;970,19000
20.09.2016;969,71000;967,12000;970,11000;957,35000
19.09.2016;969,75000;960,09000;971,54000;960,09000
16.09.2016;961,41000;971,86000;972,63000;953,12000
15.09.2016;970,93000;968,56000;971,55000;961,42000
14.09.2016;970,56000;966,66000;976,66000;966,03000
13.09.2016;968,53000;985,47000;988,03000;967,10000
12.09.2016;983,78000;980,29000;984,72000;967,51000
09.09.2016;987,87000;1006,86000;1006,86000;987,87000
08.09.2016;1013,11000;1011,18000;1017,32000;1004,06000
07.09.2016;1005,77000;996,43000;1007,20000;996,39000
06.09.2016;995,35000;978,25000;995,63000;978,21000
05.09.2016;977,45000;972,05000;984,79000;970,53000
02.09.2016;969,86000;945,36000;971,66000;945,36000
01.09.2016;944,96000;952,93000;954,23000;944,88000
31.08.2016;950,25000;958,60000;959,97000;947,34000
30.08.2016;958,67000;967,53000;969,97000;957,62000
29.08.2016;962,08000;964,65000;964,65000;953,74000
26.08.2016;973,43000;966,59000;977,81000;958,56000
25.08.2016;966,29000;958,80000;967,45000;955,63000
24.08.2016;958,04000;969,57000;969,86000;954,65000
23.08.2016;972,25000;960,49000;975,58000;959,20000
22.08.2016;963,29000;964,43000;965,14000;954,66000
19.08.2016;965,68000;976,23000;977,00000;963,72000
18.08.2016;975,04000;972,84000;981,56000;967,01000
17.08.2016;965,39000;973,72000;973,72000;962,37000
16.08.2016;974,82000;972,84000;987,07000;965,87000
15.08.2016;972,10000;958,22000;975,57000;955,75000
12.08.2016;954,58000;957,68000;965,63000;950,76000
11.08.2016;952,81000;942,74000;952,81000;937,32000
10.08.2016;946,63000;951,46000;957,49000;944,98000
09.08.2016;953,98000;952,49000;958,05000;944,13000
08.08.2016;953,64000;936,63000;953,64000;936,63000
05.08.2016;935,46000;932,25000;938,72000;931,27000
04.08.2016;927,50000;915,15000;927,50000;913,44000
03.08.2016;910,54000;904,00000;912,29000;898,05000
02.08.2016;903,04000;916,48000;917,39000;901,94000
01.08.2016;922,53000;930,38000;938,64000;918,97000
29.07.2016;927,57000;923,64000;928,74000;910,74000
28.07.2016;923,39000;925,93000;929,17000;918,33000
27.07.2016;921,67000;926,10000;930,08000;916,56000
26.07.2016;924,74000;930,62000;931,32000;911,64000
25.07.2016;930,71000;937,23000;944,29000;927,64000
22.07.2016;935,98000;941,34000;945,35000;935,98000
21.07.2016;947,07000;948,37000;953,32000;943,99000
20.07.2016;946,73000;949,68000;954,40000;938,42000
19.07.2016;952,80000;962,72000;967,20000;945,07000
18.07.2016;969,35000;961,20000;974,13000;958,01000
15.07.2016;963,70000;968,56000;969,47000;959,38000
14.07.2016;972,44000;956,58000;975,21000;951,87000
13.07.2016;952,37000;955,21000;962,12000;949,30000
12.07.2016;955,41000;939,15000;957,11000;938,21000
11.07.2016;941,35000;931,30000;942,40000;925,22000
08.07.2016;934,35000;914,14000;935,58000;912,44000
07.07.2016;923,85000;925,94000;937,24000;922,03000
06.07.2016;917,71000;926,66000;927,12000;911,04000
05.07.2016;925,23000;938,24000;938,24000;922,75000
04.07.2016;940,85000;937,77000;945,91000;935,62000
01.07.2016;933,32000;931,20000;937,54000;922,59000
30.06.2016;930,77000;931,13000;936,41000;919,40000
29.06.2016;931,35000;915,52000;931,35000;912,07000
28.06.2016;905,36000;890,88000;909,86000;890,88000
27.06.2016;888,78000;909,14000;913,10000;885,22000
24.06.2016;912,49000;920,67000;920,67000;887,44000
23.06.2016;941,11000;919,69000;942,06000;917,11000
22.06.2016;927,29000;942,39000;947,72000;924,89000
21.06.2016;937,22000;932,29000;939,47000;923,07000
20.06.2016;935,04000;917,80000;938,15000;917,80000
17.06.2016;910,28000;898,59000;917,46000;898,59000
16.06.2016;895,00000;905,41000;905,75000;884,83000
15.06.2016;910,08000;897,33000;912,34000;895,88000
14.06.2016;900,19000;916,15000;918,69000;891,24000
10.06.2016;924,65000;943,51000;944,28000;924,65000
09.06.2016;950,86000;966,56000;967,58000;945,02000
08.06.2016;965,36000;952,55000;965,36000;947,32000
07.06.2016;948,87000;925,71000;948,87000;922,94000
06.06.2016;922,91000;908,87000;927,26000;905,41000
03.06.2016;902,64000;892,28000;903,70000;886,46000
02.06.2016;885,93000;889,77000;896,76000;874,88000
01.06.2016;890,52000;897,00000;901,95000;884,80000
31.05.2016;904,33000;927,49000;928,95000;904,33000
30.05.2016;925,51000;920,07000;927,45000;913,95000
27.05.2016;917,52000;915,75000;921,88000;910,50000
26.05.2016;918,79000;916,65000;934,61000;914,72000
25.05.2016;907,97000;899,38000;917,60000;899,38000
24.05.2016;891,48000;880,92000;893,43000;878,13000
23.05.2016;879,55000;880,28000;884,25000;873,58000
20.05.2016;893,09000;896,90000;902,35000;886,41000
19.05.2016;885,42000;910,70000;912,82000;885,42000
18.05.2016;926,82000;928,04000;928,04000;918,12000
17.05.2016;931,73000;928,81000;934,97000;910,34000
16.05.2016;929,12000;920,29000;942,27000;918,73000
13.05.2016;921,88000;923,01000;923,75000;907,96000
12.05.2016;915,95000;926,97000;934,63000;915,95000
11.05.2016;927,00000;898,26000;927,04000;895,83000
10.05.2016;897,11000;905,71000;910,29000;886,92000
06.05.2016;912,02000;911,25000;913,89000;896,42000
05.05.2016;916,53000;911,13000;924,43000;906,62000
04.05.2016;912,58000;941,80000;949,36000;907,66000
29.04.2016;951,11000;959,40000;968,03000;945,72000
28.04.2016;964,41000;936,40000;964,41000;929,33000
27.04.2016;927,09000;943,15000;945,78000;919,71000
26.04.2016;931,19000;924,64000;931,19000;916,57000
25.04.2016;927,66000;930,04000;935,99000;919,03000
22.04.2016;931,46000;920,23000;941,31000;919,19000
21.04.2016;927,23000;952,83000;960,96000;925,67000
20.04.2016;943,16000;920,33000;943,16000;912,12000
19.04.2016;926,64000;903,47000;928,11000;902,49000
18.04.2016;899,58000;896,12000;899,58000;864,46000
15.04.2016;905,10000;911,77000;916,40000;899,37000
14.04.2016;914,34000;917,01000;926,53000;906,62000
13.04.2016;922,50000;912,44000;932,15000;910,21000
12.04.2016;911,07000;899,68000;913,55000;897,34000
11.04.2016;900,98000;880,29000;903,04000;875,94000
08.04.2016;879,07000;862,18000;882,82000;860,78000
07.04.2016;859,24000;869,47000;872,56000;852,98000
06.04.2016;863,29000;856,07000;865,50000;848,07000
05.04.2016;846,61000;852,10000;854,10000;839,62000
04.04.2016;861,76000;864,34000;868,89000;847,60000
01.04.2016;861,96000;874,41000;874,41000;847,04000
31.03.2016;876,20000;860,95000;882,75000;858,62000
30.03.2016;869,86000;857,46000;876,77000;857,46000
29.03.2016;843,42000;850,22000;850,85000;835,75000
28.03.2016;851,67000;861,54000;873,01000;848,25000
25.03.2016;862,22000;859,05000;868,88000;859,05000
24.03.2016;847,26000;858,51000;859,41000;841,49000
23.03.2016;865,40000;886,88000;889,45000;863,83000
22.03.2016;889,02000;885,41000;894,45000;874,22000
21.03.2016;883,60000;878,19000;887,09000;866,47000
18.03.2016;885,13000;875,90000;894,76000;866,88000
17.03.2016;873,80000;854,62000;876,33000;854,62000
16.03.2016;835,97000;823,84000;835,97000;821,19000
15.03.2016;821,64000;842,64000;845,12000;818,95000
14.03.2016;830,54000;845,79000;847,18000;826,32000
11.03.2016;845,59000;832,15000;854,06000;831,70000
10.03.2016;834,24000;835,49000;850,15000;828,53000
09.03.2016;835,64000;837,02000;840,04000;815,11000
07.03.2016;839,23000;823,66000;840,10000;822,35000
04.03.2016;818,25000;802,24000;818,25000;796,26000
03.03.2016;798,58000;792,03000;800,29000;783,58000
02.03.2016;780,16000;795,71000;798,39000;777,11000
01.03.2016;786,36000;771,72000;790,55000;770,87000
29.02.2016;768,80000;749,03000;768,80000;746,19000
26.02.2016;757,45000;759,08000;772,08000;755,09000
25.02.2016;745,53000;749,63000;755,55000;732,40000
24.02.2016;737,73000;757,19000;757,19000;725,40000
22.02.2016;761,48000;733,69000;762,58000;733,69000
19.02.2016;725,98000;741,49000;742,99000;721,60000
18.02.2016;752,89000;742,64000;756,36000;739,63000
17.02.2016;735,81000;708,86000;739,52000;705,97000
16.02.2016;708,61000;713,25000;727,38000;706,31000
15.02.2016;707,24000;698,56000;713,53000;698,03000
12.02.2016;689,90000;681,99000;692,39000;678,28000
11.02.2016;671,34000;692,55000;692,55000;663,61000
10.02.2016;696,61000;681,23000;705,20000;676,79000
09.02.2016;690,37000;697,93000;705,33000;684,39000
08.02.2016;704,03000;724,26000;734,80000;700,76000
